79	无为在歧路，儿女共沾巾	wú wéi zài qí lù ， ér nǚ gòng zhān jīn	王勃《送杜少府之任蜀州》	送别赠友
80	故人西辞黄鹤楼，烟花三月下扬州	gù rén xī cí huáng hè lóu ， yān huā sān yuè xià yáng zhōu	李白《黄鹤楼送孟浩然之广陵》	送别赠友
81	孤帆远影碧空尽，唯见长江天际流	gū fān yuǎn yǐng bì kōng jìn ， wéi jiàn cháng jiāng tiān jì liú	李白《黄鹤楼送孟浩然之广陵》	送别赠友
82	李白乘舟将欲行，忽闻岸上踏歌声	lǐ bái chéng zhōu jiāng yù xíng ， hū wén àn shàng tà gē shēng	李白《赠汪伦》	送别赠友
83	桃花潭水深千尺，不及汪伦送我情	táo huā tán shuǐ shēn qiān chǐ ， bù jí wāng lún sòng wǒ qíng	李白《赠汪伦》	送别赠友
84	杨花落尽子规啼，闻道龙标过五溪	yáng huā luò jìn zǐ guī tí ， wén dào lóng biāo guò wǔ xī	李白《闻王昌龄左迁龙标遥有此寄》	送别赠友
85	我寄愁心与明月，随君直到夜郎西	wǒ jì chóu xīn yǔ míng yuè ， suí jūn zhí dào yè láng xī	李白《闻王昌龄左迁龙标遥有此寄》	送别赠友
86	青山横北郭，白水绕东城	qīng shān héng běi guō ， bái shuǐ rào dōng chéng	李白《送友人》	送别赠友
87	此地一为别，孤蓬万里征	cǐ dì yī wéi bié ， gū péng wàn lǐ zhēng	李白《送友人》	送别赠友
88	浮云游子意，落日故人情	fú yún yóu zǐ yì ， luò rì gù rén qíng	李白《送友人》	送别赠友
89	挥手自兹去，萧萧班马鸣	huī shǒu zì zī qù ， xiāo xiāo bān mǎ míng	李白《送友人》	送别赠友
90	劝君更尽一杯酒，西出阳关无故人	quàn jūn gèng jìn yī bēi jiǔ ， xī chū yáng guān wú gù rén	王维《送元二使安西》	送别赠友
91	渭城朝雨浥轻尘，客舍青青柳色新	wèi chéng zhāo yǔ yì qīng chén ， kè shè qīng qīng liǔ sè xīn	王维《送元二使安西》	送别赠友
92	莫愁前路无知己，天下谁人不识君	mò chóu qián lù wú zhī jǐ ， tiān xià shuí rén bù shí jūn	高适《别董大》	送别赠友
93	千里黄云白日曛，北风吹雁雪纷纷	qiān lǐ huáng yún bái rì xūn ， běi fēng chuī yàn xuě fēn fēn	高适《别董大》	送别赠友
94	寒雨连江夜入吴，平明送客楚山孤	hán yǔ lián jiāng yè rù wú ， píng míng sòng kè chǔ shān gū	王昌龄《芙蓉楼送辛渐》	送别赠友
95	洛阳亲友如相问，一片冰心在玉壶	luò yáng qīn yǒu rú xiāng wèn ， yī piàn bīng xīn zài yù hú	王昌龄《芙蓉楼送辛渐》	送别赠友
96	轮台东门送君去，去时雪满天山路	lún tái dōng mén sòng jūn qù ， qù shí xuě mǎn tiān shān lù	岑参《白雪歌送武判官归京》	送别赠友
97	离离原上草，一岁一枯荣	lí lí yuán shàng cǎo ， yī suì yī kū róng	白居易《赋得古原草送别》	送别赠友
98	野火烧不尽，春风吹又生	yě huǒ shāo bù jìn ， chūn fēng chuī yòu shēng	白居易《赋得古原草送别》	送别赠友
99	又送王孙去，萋萋满别情	yòu sòng wáng sūn qù ， qī qī mǎn bié qíng	白居易《赋得古原草送别》	送别赠友
100	日暮酒醒人已远，满天风雨下西楼	rì mù jiǔ xǐng rén yǐ yuǎn ， mǎn tiān fēng yǔ xià xī lóu	许浑《谢亭送别》	送别赠友
101	劳歌一曲解行舟，红叶青山水急流	láo gē yī qǔ jiě xíng zhōu ， hóng yè qīng shān shuǐ jí liú	许浑《谢亭送别》	送别赠友
102	请君试问东流水，别意与之谁短长	qǐng jūn shì wèn dōng liú shuǐ ， bié yì yǔ zhī shuí duǎn cháng	李白《金陵酒肆留别》	送别赠友
103	风吹柳花满店香，吴姬压酒唤客尝	fēng chuī liǔ huā mǎn diàn xiāng ， wú jī yā jiǔ huàn kè cháng	李白《金陵酒肆留别》	送别赠友
104	天下伤心处，劳劳送客亭	tiān xià shāng xīn chù ， láo láo sòng kè tíng	李白《劳劳亭》	送别赠友
105	春风知别苦，不遣柳条青	chūn fēng zhī bié kǔ ， bù qiǎn liǔ tiáo qīng	李白《劳劳亭》	送别赠友
106	昔时人已没，今日水犹寒	xī shí rén yǐ mò ， jīn rì shuǐ yóu hán	骆宾王《于易水送人》	送别赠友
107	此地别燕丹，壮士发冲冠	cǐ dì bié yān dān ， zhuàng shì fà chōng guān	骆宾王《于易水送人》	送别赠友
108	故人江海别，几度隔山川	gù rén jiāng hǎi bié ， jǐ dù gé shān chuān	司空曙《云阳馆与韩绅宿别》	送别赠友
109	乍见翻疑梦，相悲各问年	zhà jiàn fān yí mèng ， xiāng bēi gè wèn nián	司空曙《云阳馆与韩绅宿别》	送别赠友
110	明日隔山岳，世事两茫茫	míng rì gé shān yuè ， shì shì liǎng máng máng	杜甫《赠卫八处士》	送别赠友
111	人生不相见，动如参与商	rén shēng bù xiāng jiàn ， dòng rú shēn yǔ shāng	杜甫《赠卫八处士》	送别赠友
112	今夕复何夕，共此灯烛光	jīn xī fù hé xī ， gòng cǐ dēng zhú guāng	杜甫《赠卫八处士》	送别赠友
113	故人入我梦，明我长相忆	gù rén rù wǒ mèng ， míng wǒ cháng xiāng yì	杜甫《梦李白二首》	送别赠友
114	床前明月光，疑是地上霜	chuáng qián míng yuè guāng ， yí shì dì shàng shuāng	李白《静夜思》	思乡怀人
115	举头望明月，低头思故乡	jǔ tóu wàng míng yuè ， dī tóu sī gù xiāng	李白《静夜思》	思乡怀人
116	独在异乡为异客，每逢佳节倍思亲	dú zài yì xiāng wéi yì kè ， měi féng jiā jié bèi sī qīn	王维《九月九日忆山东兄弟》	思乡怀人
117	遥知兄弟登高处，遍插茱萸少一人	yáo zhī xiōng dì dēng gāo chù ， biàn chā zhū yú shǎo yī rén	王维《九月九日忆山东兄弟》	思乡怀人
118	露从今夜白，月是故乡明	lù cóng jīn yè bái ， yuè shì gù xiāng míng	杜甫《月夜忆舍弟》	思乡怀人
119	戍鼓断人行，边秋一雁声	shù gǔ duàn rén xíng ， biān qiū yī yàn shēng	杜甫《月夜忆舍弟》	思乡怀人
120	海上生明月，天涯共此时	hǎi shàng shēng míng yuè ， tiān yá gòng cǐ shí	张九龄《望月怀远》	思乡怀人
121	情人怨遥夜，竟夕起相思	qíng rén yuàn yáo yè ， jìng xī qǐ xiāng sī	张九龄《望月怀远》	思乡怀人
122	不堪盈手赠，还寝梦佳期	bù kān yíng shǒu zèng ， huán qǐn mèng jiā qī	张九龄《望月怀远》	思乡怀人
123	烽火连三月，家书抵万金	fēng huǒ lián sān yuè ， jiā shū dǐ wàn jīn	杜甫《春望》	思乡怀人
124	感时花溅泪，恨别鸟惊心	gǎn shí huā jiàn lèi ， hèn bié niǎo jīng xīn	杜甫《春望》	思乡怀人
125	少小离家老大回，乡音无改鬓毛衰	shào xiǎo lí jiā lǎo dà huí ， xiāng yīn wú gǎi bìn máo cuī	贺知章《回乡偶书》	思乡怀人
126	儿童相见不相识，笑问客从何处来	ér tóng xiāng jiàn bù xiāng shí ， xiào wèn kè cóng hé chù lái	贺知章《回乡偶书》	思乡怀人
127	君自故乡来，应知故乡事	jūn zì gù xiāng lái ， yīng zhī gù xiāng shì	王维《杂诗》	思乡怀人
128	来日绮窗前，寒梅著花未	lái rì qǐ chuāng qián ， hán méi zhuó huā wèi	王维《杂诗》	思乡怀人
129	洛阳城里见秋风，欲作家书意万重	luò yáng chéng lǐ jiàn qiū fēng ， yù zuò jiā shū yì wàn chóng	张籍《秋思》	思乡怀人
130	复恐匆匆说不尽，行人临发又开封	fù kǒng cōng cōng shuō bù jìn ， xíng rén lín fā yòu kāi fēng	张籍《秋思》	思乡怀人
131	故园东望路漫漫，双袖龙钟泪不干	gù yuán dōng wàng lù màn màn ， shuāng xiù lóng zhōng lèi bù gān	岑参《逢入京使》	思乡怀人
132	马上相逢无纸笔，凭君传语报平安	mǎ shàng xiāng féng wú zhǐ bǐ ， píng jūn chuán yǔ bào píng ān	岑参《逢入京使》	思乡怀人
133	日暮乡关何处是，烟波江上使人愁	rì mù xiāng guān hé chù shì ， yān bō jiāng shàng shǐ rén chóu	崔颢《黄鹤楼》	思乡怀人
134	昔人已乘黄鹤去，此地空余黄鹤楼	xī rén yǐ chéng huáng hè qù ， cǐ dì kōng yú huáng hè lóu	崔颢《黄鹤楼》	思乡怀人
135	黄鹤一去不复返，白云千载空悠悠	huáng hè yī qù bù fù fǎn ， bái yún qiān zǎi kōng yōu yōu	崔颢《黄鹤楼》	思乡怀人
136	晴川历历汉阳树，芳草萋萋鹦鹉洲	qíng chuān lì lì hàn yáng shù ， fāng cǎo qī qī yīng wǔ zhōu	崔颢《黄鹤楼》	思乡怀人
